0,0,10,5
1,0,16,1
2,0,7,5
3,0,16,1
4,0,16,4
5,10,6,4
6,10,15,8
7,10,16,6
8,16,1,4
9,16,8,9
10,16,18,7
11,16,5,6
12,16,9,7
13,7,14,7
14,7,1,6
15,7,15,8
16,7,14,9
17,7,15,8
18,6,19,1
19,6,15,7
20,6,10,3
21,6,1,10
22,15,3,2
23,15,7,9
24,1,8,7
25,1,10,9
26,8,1,9
27,8,13,7
28,8,14,9
29,18,19,4
30,18,9,4
31,18,11,3
32,18,6,7
33,18,5,5
34,5,7,7
35,5,14,4
36,5,0,3
37,9,2,6
38,9,8,7
39,14,19,8
40,14,16,9
41,14,16,7
42,14,11,3
43,14,2,2
44,19,14,1
45,19,13,6
46,3,16,2
47,13,8,4
48,11,9,4
49,11,16,2
50,11,16,7
51,11,19,7
52,11,3,8
53,2,7,1
54,2,8,9
55,2,17,3
56,2,17,7
57,17,2,10
58,17,2,7
59,17,11,1
60,17,10,4
61,17,15,9
62,12,5,2
63,12,18,3
64,12,9,4
65,4,6,10
66,4,2,2
67,4,9,4
